depth1_name,depth1_code,depth2_name,depth2_code,depth3_name,dpeth3_code,parameter1,parameter2,parameter3
대학,02,공과대학,16,기계공학부 기계공학전공,160101,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,기계공학부 기계설계학전공,160102,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,응용화학과 ,1603,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,화학공학과 ,1604,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,고분자공학과 ,1605,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,환경공학과 ,1606,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,섬유시스템공학과 ,1607,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,신소재공학부 A,1609001,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,신소재공학부 B,1609002,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,신소재공학부 금속신소재공학전공,160903,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,신소재공학부 전자재료공학전공,160904,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,토목공학과 ,160E,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,건축학부 ,160I,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,건축학부 건축공학전공,160I01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,건축학부 건축학전공,160I02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,건축·토목공학부 건축학전공,160K01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,건축·토목공학부 건축공학전공,160K02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,건축·토목공학부 토목공학전공,160K03,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,에너지공학부 ,1611,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,에너지공학부 신재생에너지전공,161101,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,에너지공학부 에너지변환전공,161102,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,응용화학공학부 A,1612001,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,응용화학공학부 B,1612002,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,응용화학공학부 응용화학전공,161201,search_open_yr_trm,sub,search_open_crse_cde
대학,02,공과대학,16,응용화학공학부 화학공학전공,161202,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,농업토목공학과 ,1703,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,조경학과 ,1708,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,생물산업기계공학과 ,1709,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,농업경제학과 ,170A,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,응용생명과학부 ,170B,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,응용생명과학부 식물생명과학전공,170B01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,응용생명과학부 환경생명화학전공,170B04,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,응용생명과학부 응용생물학전공,170B05,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,임학과 ,170C,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,임산공학과 ,170D,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,원예과학과 ,170O,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,식품공학부 ,170P,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,식품공학부 식품생물공학전공,170P01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,식품공학부 식품소재공학전공,170P02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,식품공학부 식품응용공학전공,170P03,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,바이오섬유소재학과 ,170Q,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,농산업학과 ,170R,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,산림과학.조경학부 ,170S,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,산림과학.조경학부 임학전공,170S01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,산림과학.조경학부 임산공학전공,170S02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,산림과학.조경학부 조경학전공,170S03,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,농업토목.생물산업공학부 ,170T,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,농업토목.생물산업공학부 농업토목공학전공,170T01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,농업토목.생물산업공학부 생물산업기계공학전공,170T02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,스마트팜공학융합전공 ,170U,search_open_yr_trm,sub,search_open_crse_cde
대학,02,농업생명과학대학,17,생물정보학융합전공 ,170V,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,교육학과 ,1901,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,국어교육과 ,1902,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,영어교육과 ,1903,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,사회교육학부 역사교육전공,190601,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,사회교육학부 지리교육전공,190602,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,사회교육학부 일반사회교육전공,190603,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,사회교육학부 공통사회교육전공,190604,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,윤리교육과 ,1907,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,수학교육과 ,1908,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,과학교육학부 물리교육전공,190901,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,과학교육학부 화학교육전공,190902,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,과학교육학부 생물교육전공,190903,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,과학교육학부 지구과학교육전공,190904,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,과학교육학부 공통과학교육전공,190905,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,가정교육과 ,190A,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,가정교육과(기술.가정) 기술·가정교육전공,190B,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,체육교육과 ,190C,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,유럽어교육학부 독어교육전공,190D01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,유럽어교육학부 불어교육전공,190D02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,역사교육과 ,190E,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,지리교육과 ,190F,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,일반사회교육과 ,190G,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,물리교육과 ,190H,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,화학교육과 ,190I,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,생물교육과 ,190J,search_open_yr_trm,sub,search_open_crse_cde
대학,02,사범대학,19,지구과학교육과 ,190K,search_open_yr_trm,sub,search_open_crse_cde
대학,02,예술대학,18,음악학과 ,1801,search_open_yr_trm,sub,search_open_crse_cde
대학,02,예술대학,18,국악학과 ,1803,search_open_yr_trm,sub,search_open_crse_cde
대학,02,예술대학,18,미술학과 ,1804,search_open_yr_trm,sub,search_open_crse_cde
대학,02,예술대학,18,디자인학과 ,1806,search_open_yr_trm,sub,search_open_crse_cde
대학,02,의과대학,1F,의학과,1F01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,의과대학,1F,의예과,1F04,search_open_yr_trm,sub,search_open_crse_cde
대학,02,치과대학,1G,치의학과,1G01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,치과대학,1G,치의예과,1G02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,수의과대학,1A,수의학과,1A01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,수의과대학,1A,수의예과,1A02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생활과학대학,1B,의류학과,1B03,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생활과학대학,1B,식품영양학과,1B04,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생활과학대학,1B,아동학부,1B07,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생활과학대학,1B,아동학부,1B0701,search_open_yr_trm,sub,search_open_crse_cde
대학,02,생활과학대학,1B,아동학부,1B0702,search_open_yr_trm,sub,search_open_crse_cde
대학,02,자율전공부,1E,인문사회자율전공 ,1E01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,자율전공부,1E,인문사회자율전공 A,1E01001,search_open_yr_trm,sub,search_open_crse_cde
대학,02,자율전공부,1E,인문사회자율전공 B,1E01002,search_open_yr_trm,sub,search_open_crse_cde
대학,02,자율전공부,1E,인문사회자율전공 C,1E01003,search_open_yr_trm,sub,search_open_crse_cde
대학,02,자율전공부,1E,인문사회자율전공 D,1E01004,search_open_yr_trm,sub,search_open_crse_cde
대학,02,자율전공부,1E,자연과학자율전공 ,1E02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,자율전공부,1E,자연과학자율전공 E,1E02005,search_open_yr_trm,sub,search_open_crse_cde
대학,02,자율전공부,1E,자연과학자율전공 F,1E02006,search_open_yr_trm,sub,search_open_crse_cde
대학,02,간호대학,1C,간호학과,1C01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,전자공학부 ,1O01,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,전자공학부 A,1O01001,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,전자공학부 B,1O01002,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,전자공학부 C,1O01003,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,전자공학부 D,1O01004,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,전자공학부 E,1O01005,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,전자공학부 F,1O01006,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,전자공학부 H,1O01007,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,전자공학부 모바일공학전공,1O0101,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,컴퓨터학부 ,1O02,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,컴퓨터학부 글로벌소프트웨어융합전공,1O0204,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,전기공학과 ,1O03,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,빅데이터전공 ,1O06,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,건설IT전공 ,1O07,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,핀테크전공 ,1O08,search_open_yr_trm,sub,search_open_crse_cde
대학,02,IT대학,1O,미디어아트전공 ,1O09,search_open_yr_trm,sub,search_open_crse_cde
